# 3082-2 : 78 brins;;;;;;Sorties;Entrées;Delta;Base Max;Écart;Formule sorties;Formule entrées;;
Case;Brins;Mouvement;;;;;;;;;;;Brins;
1;3;42;P;40;;1;1;0;3;0;1;1;3;
2;1;39;Q;43;;1;1;0;3;-2;1;1;1;
3;2;44;P;38;;1;1;0;3;-1;1;1;2;
4;1;37;Q;45;;1;1;0;3;-2;1;1;1;
5;2;46;P;36;;1;1;0;3;-1;1;1;2;
6;1;1;Q;31;;1;1;0;3;-2;1;1;1;
7;1;30;P;2;;1;1;0;3;-2;1;1;1;
8;2;3;Q;29;;1;1;0;3;-1;1;1;2;
9;1;28;P;4;;1;1;0;3;-2;1;1;1;
10;2;5;Q;27;;1;1;0;3;-1;1;1;2;
11;2;32;P;30;;1;1;0;3;-1;1;1;2;
12;2;29;Q;33;;1;1;0;3;-1;1;1;2;
13;1;34;P;28;;1;1;0;3;-2;1;1;1;
14;2;27;Q;35;;1;1;0;3;-1;1;1;2;
15;1;36;P;26;;1;1;0;3;-2;1;1;1;
16;1;41;Q;21;;1;1;0;3;-2;1;1;1;
17;1;20;P;42;;1;1;0;3;-2;1;1;1;
18;2;43;Q;19;;1;1;0;3;-1;1;1;2;
19;1;18;P;44;;1;1;0;3;-2;1;1;1;
20;2;45;Q;17;;1;1;0;3;-1;1;1;2;
21;2;22;P;20;;1;1;0;3;-1;1;1;2;
22;2;19;Q;23;;1;1;0;3;-1;1;1;2;
23;1;24;P;18;;1;1;0;3;-2;1;1;1;
24;2;17;Q;25;;1;1;0;3;-1;1;1;2;
25;1;26;P;16;;1;1;0;3;-2;1;1;1;
26;1;31;Q;11;;1;1;0;3;-2;1;1;1;
27;1;10;P;32;;1;1;0;3;-2;1;1;1;
28;2;33;Q;9;;1;1;0;3;-1;1;1;2;
29;1;8;P;34;;1;1;0;3;-2;1;1;1;
30;2;35;Q;7;;1;1;0;3;-1;1;1;2;
31;2;12;P;10;;1;1;0;3;-1;1;1;2;
32;2;9;Q;13;;1;1;0;3;-1;1;1;2;
33;1;14;P;8;;1;1;0;3;-2;1;1;1;
34;2;7;Q;15;;1;1;0;3;-1;1;1;2;
35;1;16;P;6;;1;1;0;3;-2;1;1;1;
36;1;21;Q;1;;1;1;0;3;-2;1;1;1;
37;2;50;P;22;;1;1;0;3;-1;1;1;2;
38;1;23;Q;49;;1;1;0;3;-2;1;1;1;
39;2;48;P;24;;1;1;0;3;-1;1;1;2;
40;1;25;Q;47;;1;1;0;3;-2;1;1;1;
41;3;2;P;50;;1;1;0;3;0;1;1;3;
42;2;49;Q;3;;1;1;0;3;-1;1;1;2;
43;1;4;P;48;;1;1;0;3;-2;1;1;1;
44;2;47;Q;5;;1;1;0;3;-1;1;1;2;
45;1;6;P;46;;1;1;0;3;-2;1;1;1;
46;2;11;Q;41;;1;1;0;3;-1;1;1;2;
47;1;40;P;12;;1;1;0;3;-2;1;1;1;
48;2;13;Q;39;;1;1;0;3;-1;1;1;2;
49;1;38;P;14;;1;1;0;3;-2;1;1;1;
50;2;15;Q;37;;1;1;0;3;-1;1;1;2;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
